region,city,district,population,wkt
منطقة جازان,جازان,المطار,113,"POLYGON ((42.578341 16.922273, 42.582485 16.914689, 42.581688 16.914117, 42.583625 16.910858, 42.582381 16.910161, 42.590244 16.897131, 42.591135 16.89744, 42.591711 16.896536, 42.591013 16.895882, 42.593507 16.891739, 42.593711 16.891616, 42.596427 16.893073, 42.598961 16.888893, 42.596366 16.886914, 42.593322 16.885351, 42.590811 16.884514, 42.587593 16.883914, 42.586562 16.88335, 42.585084 16.883829, 42.580867 16.884618, 42.559684 16.890449, 42.557735 16.891144, 42.557157 16.891594, 42.557577 16.891988, 42.565263 16.896395, 42.568789 16.898127, 42.568532 16.899098, 42.568427 16.902076, 42.560608 16.901679, 42.560451 16.901862, 42.560483 16.904168, 42.57361 16.904831, 42.571854 16.920914, 42.578256 16.922428, 42.578341 16.922273))"
منطقة الجوف,سكاكا,السوق,125,"POLYGON ((40.215557 29.980564, 40.206529 29.980709, 40.208837 29.982929, 40.209607 29.984442, 40.209969 29.985825, 40.210044 29.987242, 40.208838 29.994177, 40.210219 29.993288, 40.211428 29.992126, 40.21501 29.987264, 40.215557 29.985371, 40.215557 29.980564))"
منطقة مكة المكرمة,مكة المكرمة,حي العزيزية,48,"POLYGON ((39.85966 21.426266, 39.859331 21.4255, 39.861049 21.424755, 39.860111 21.423845, 39.858693 21.422853, 39.862215 21.423596, 39.86459 21.422703, 39.865739 21.420516, 39.868031 21.417664, 39.868116 21.416736, 39.867229 21.413754, 39.867674 21.41346, 39.867889 21.413555, 39.869161 21.412027, 39.86806 21.411184, 39.868166 21.411007, 39.867124 21.410204, 39.866526 21.410774, 39.860922 21.406087, 39.858974 21.402899, 39.858551 21.403936, 39.853043 21.406857, 39.852403 21.405487, 39.851626 21.405369, 39.8503 21.408446, 39.843437 21.41473, 39.841797 21.416964, 39.841115 21.419298, 39.841364 21.420562, 39.842849 21.42277, 39.843815 21.4237, 39.845297 21.424152, 39.853855 21.42488, 39.855004 21.424776, 39.855963 21.425551, 39.856035 21.425976, 39.856901 21.426155, 39.856356 21.427365, 39.857043 21.427362, 39.85966 21.426266))"
منطقة نجران,نجران,الصناعية,235,"POLYGON ((44.340739 17.597058, 44.341126 17.596982, 44.34134 17.59722, 44.342494 17.596883, 44.342542 17.596447, 44.345433 17.597059, 44.345548 17.597409, 44.346767 17.596749, 44.346951 17.596957, 44.347776 17.596544, 44.348365 17.595475, 44.347219 17.594774, 44.352381 17.585537, 44.35144 17.585098, 44.351813 17.58441, 44.34908 17.582889, 44.336225 17.574821, 44.335028 17.598683, 44.335315 17.600172, 44.335775 17.601078, 44.336011 17.601176, 44.338449 17.601011, 44.339031 17.599653, 44.339982 17.599268, 44.339598 17.59795, 44.339659 17.597522, 44.340739 17.597058))"
منطقة الرياض,الرياض,الروضة,31,"POLYGON ((46.774519 24.74703, 46.787011 24.730206, 46.76175 24.714498, 46.748818 24.740048, 46.769979 24.753157, 46.774519 24.74703))"
منطقة مكة المكرمة,جدة,الشاطئ,45,"POLYGON ((39.110825 21.663645, 39.111851 21.635872, 39.112134 21.632443, 39.1127 21.630395, 39.120453 21.608302, 39.120936 21.606251, 39.111289 21.603651, 39.110884 21.602341, 39.110109 21.601507, 39.109747 21.600854, 39.109447 21.59751, 39.105465 21.597967, 39.106155 21.600255, 39.106386 21.601455, 39.106181 21.601479, 39.106162 21.601643, 39.106395 21.601504, 39.106278 21.601967, 39.106398 21.601922, 39.106404 21.6028, 39.106258 21.603185, 39.106368 21.603364, 39.106251 21.605202, 39.106066 21.605603, 39.106201 21.605987, 39.10614 21.606927, 39.105236 21.615702, 39.105485 21.617057, 39.105317 21.617329, 39.105524 21.617401, 39.105368 21.618055, 39.1056 21.618449, 39.105109 21.619545, 39.104848 21.621328, 39.104916 21.622652, 39.104671 21.62301, 39.105095 21.623753, 39.104783 21.623983, 39.104673 21.624293, 39.103755 21.624308, 39.103825 21.624806, 39.103566 21.624953, 39.10354 21.625188, 39.103714 21.625398, 39.103632 21.626086, 39.103818 21.626514, 39.102511 21.628491, 39.101979 21.630452, 39.102124 21.631665, 39.102823 21.63267, 39.102935 21.633274, 39.102225 21.63361, 39.101992 21.634021, 39.102006 21.635, 39.102514 21.635659, 39.101597 21.637131, 39.101186 21.638214, 39.10091 21.641776, 39.100548 21.642561, 39.100438 21.643629, 39.100647 21.644852, 39.101544 21.646565, 39.10156 21.647792, 39.101786 21.648099, 39.101461 21.648778, 39.101207 21.64886, 39.100939 21.648542, 39.100667 21.648674, 39.100614 21.64853, 39.10043 21.648597, 39.100685 21.649236, 39.100882 21.649177, 39.100907 21.649337, 39.100414 21.649744, 39.099684 21.651331, 39.099284 21.651374, 39.099417 21.651573, 39.099063 21.653625, 39.098591 21.654771, 39.099162 21.655726, 39.098767 21.655404, 39.098396 21.655528, 39.09828 21.656, 39.098953 21.656368, 39.100276 21.659015, 39.09969 21.658925, 39.098369 21.656413, 39.09832 21.656639, 39.099466 21.659035, 39.099232 21.659144, 39.098127 21.65871, 39.097742 21.658515, 39.097731 21.658299, 39.0975 21.658153, 39.097008 21.658923, 39.096976 21.659151, 39.097207 21.659344, 39.096952 21.659411, 39.096896 21.659218, 39.096521 21.660085, 39.096819 21.659488, 39.097671 21.659594, 39.099329 21.660297, 39.099565 21.660526, 39.101817 21.661263, 39.102501 21.661941, 39.110775 21.664757, 39.110825 21.663645))"
منطقة مكة المكرمة,جدة,الشاطئ,45,"POLYGON ((39.113919 21.545296, 39.113607 21.545745, 39.113339 21.54491, 39.112874 21.54452, 39.111437 21.544437, 39.111101 21.544694, 39.111141 21.544985, 39.111436 21.545128, 39.1113 21.545869, 39.111639 21.546815, 39.112284 21.547872, 39.112658 21.54793, 39.112532 21.548017, 39.11277 21.548178, 39.11277 21.548822, 39.113596 21.550607, 39.113647 21.551, 39.112966 21.551135, 39.113219 21.552066, 39.113101 21.552955, 39.112975 21.553305, 39.112767 21.553272, 39.112537 21.553598, 39.112705 21.553794, 39.112566 21.553782, 39.112562 21.553947, 39.113224 21.554342, 39.11324 21.554752, 39.112773 21.554821, 39.112484 21.55511, 39.11273 21.555315, 39.113957 21.555229, 39.114067 21.555591, 39.113476 21.555654, 39.112885 21.5564, 39.112473 21.556295, 39.112589 21.555713, 39.112398 21.555688, 39.112147 21.556356, 39.11278 21.556851, 39.112651 21.557604, 39.112171 21.557514, 39.111489 21.557679, 39.110959 21.559191, 39.11045 21.562964, 39.11041 21.563656, 39.110629 21.564133, 39.110525 21.564435, 39.110361 21.564484, 39.110525 21.565072, 39.110495 21.565859, 39.109293 21.569545, 39.10924 21.570168, 39.108746 21.571344, 39.108913 21.572034, 39.108686 21.572989, 39.10891 21.573118, 39.108807 21.573602, 39.109065 21.573923, 39.109219 21.576124, 39.108762 21.57686, 39.108929 21.577552, 39.108613 21.578684, 39.108834 21.578992, 39.108847 21.58029, 39.108299 21.582748, 39.10795 21.585546, 39.107443 21.586713, 39.107244 21.587675, 39.107072 21.58784, 39.106235 21.587764, 39.106374 21.587058, 39.107029 21.585853, 39.107408 21.584583, 39.108253 21.578046, 39.108199 21.577465, 39.107848 21.5775, 39.10771 21.577717, 39.107665 21.578407, 39.106861 21.580979, 39.106096 21.58563, 39.105204 21.588384, 39.104914 21.593483, 39.105085 21.59701, 39.105478 21.597955, 39.109447 21.59751, 39.109747 21.600854, 39.110109 21.601507, 39.110884 21.602341, 39.111289 21.603651, 39.120936 21.606251, 39.121032 21.601831, 39.121282 21.599655, 39.126202 21.58465, 39.126811 21.58157, 39.126704 21.576897, 39.12541 21.55513, 39.125362 21.551698, 39.125758 21.550338, 39.126376 21.549306, 39.128924 21.54671, 39.121172 21.545874, 39.115076 21.545798, 39.114183 21.545369, 39.114349 21.544986, 39.114544 21.544993, 39.114401 21.544909, 39.114097 21.545161, 39.114101 21.545363, 39.113919 21.545296))"
الحدود الشمالية,عرعر,حي النسيم,137,"POLYGON ((41.04319 30.957332, 41.042655 30.957553, 41.043851 30.959089, 41.058775 30.981537, 41.064528 30.978691, 41.04319 30.957332))"
منطقة مكة المكرمة,مكة المكرمة,الشرائع,52,"POLYGON ((40.083462 21.495338, 40.082927 21.49425, 40.081549 21.494928, 40.081747 21.495331, 40.083462 21.495338))"
منطقة مكة المكرمة,جدة,البلد,50,"POLYGON ((39.181054 21.487758, 39.181496 21.488707, 39.18256 21.490047, 39.183707 21.489797, 39.184994 21.489844, 39.18613 21.490801, 39.186543 21.490951, 39.187048 21.490837, 39.189372 21.492473, 39.189408 21.489618, 39.190644 21.487105, 39.192374 21.485599, 39.192656 21.484449, 39.192344 21.483859, 39.191565 21.483001, 39.190015 21.481571, 39.188634 21.481466, 39.18531 21.480672, 39.183935 21.480748, 39.183396 21.481468, 39.182576 21.481794, 39.182462 21.48131, 39.181259 21.481632, 39.181763 21.484313, 39.181054 21.487758))"
منطقة مكة المكرمة,جدة,البلد,50,"POLYGON ((39.180898 21.487582, 39.181026 21.487727, 39.181747 21.484679, 39.181715 21.483806, 39.181259 21.481632, 39.182462 21.48131, 39.182576 21.481794, 39.183396 21.481468, 39.183954 21.480744, 39.18531 21.480672, 39.188634 21.481466, 39.189568 21.48146, 39.190192 21.481651, 39.192552 21.484172, 39.192694 21.484603, 39.192375 21.485598, 39.19508 21.484825, 39.197432 21.484671, 39.199706 21.485445, 39.199817 21.484313, 39.199652 21.483132, 39.199068 21.48177, 39.197913 21.48043, 39.196097 21.479263, 39.194221 21.478466, 39.189907 21.477463, 39.176591 21.476683, 39.176296 21.480411, 39.176856 21.481013, 39.176884 21.480779, 39.177198 21.480856, 39.177863 21.482068, 39.178386 21.48236, 39.178253 21.483992, 39.178538 21.484156, 39.179094 21.485965, 39.180411 21.486925, 39.180898 21.487582))"
