control_number,sequence_number,violator_id,status_description,gdate_happened,gdate_paid,original_fine,actual_fine,is_discounted,violation_type_description,registry_location,vehicle_make,vehicle_model,district,city,region,person_type
101571189,6,1560723781,Issued to violator but un-paid,2026-01-28 04:13:04+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,شيفروليه,سبارك,حى المطار القديم,عرعر,الحدود الشمالية,Saudi
102218740,3,2120709547,Issued to violator but un-paid,2026-01-28 03:53:56+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,كيا,سيراتو,المطار,نجران,منطقة نجران,Alien
101571189,2,2929953113,Issued to violator but un-paid,2026-01-28 03:51:22+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,كيا,سيراتو,البجيري,الدرعية,منطقة الرياض,Alien
102253799,2,1969521955,Issued to violator but un-paid,2026-01-28 03:48:54+00:00,,150,150,False,عدم ربط حزام,مرور مكه المكرمه,لكزس,لكزس LX,البستان,سكاكا,منطقة الجوف,Saudi
102253799,5,1427737368,Issued to violator but un-paid,2026-01-28 03:46:32+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,تويوتا,كامري,الصفا,جدة,منطقة مكة المكرمة,Saudi
103163980,4,2331956420,Issued to violator but un-paid,2026-01-28 03:40:11+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,هيونداي,سوناتا,العين,الدرعية,منطقة الرياض,Alien
101571189,7,1654239256,Issued to violator but un-paid,2026-01-28 03:38:23+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,فورد,رينجر,الصفا,جازان,منطقة جازان,Saudi
100925051,1,2515810513,Issued to violator but un-paid,2026-01-28 03:36:22+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,مرسيدس بنز,مرسيدس بنز G-Class,حى المطار القديم,عرعر,الحدود الشمالية,Alien
101571189,2,1023493233,Issued to violator but un-paid,2026-01-28 03:34:17+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,ميتسوبيشي,باجيرو,النجيل,ضبا,منطقة تبوك,Saudi
102218740,9,1476877589,Issued to violator but un-paid,2026-01-28 03:32:49+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,هوندا,هوندا سيفيك,الطويريق,رفحاء,الحدود الشمالية,Saudi
103163980,5,1768505233,Issued to violator but un-paid,2026-01-28 03:32:19+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,لكزس,لكزس LX,الصفا,جازان,منطقة جازان,Saudi
103163980,4,1043363762,Issued to violator but un-paid,2026-01-28 03:27:44+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,نيسان,صني,حي البلد,الوجه,منطقة تبوك,Saudi
102253799,7,2063441078,Issued to violator but un-paid,2026-01-28 03:25:49+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,هوندا,هوندا CR-V,الفيصلية,نجران,منطقة نجران,Alien
102218740,2,1154195394,Issued to violator but un-paid,2026-01-28 03:22:32+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,تويوتا,اف جي كروزر,البلد,جدة,منطقة مكة المكرمة,Saudi
103163980,6,1964808375,Issued to violator but un-paid,2026-01-28 03:22:23+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,فورد,رينجر,الصناعية,نجران,منطقة نجران,Saudi
103163980,5,1276390283,Issued to violator but un-paid,2026-01-28 03:21:20+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,ميتسوبيشي,باجيرو,الروضة,جازان,منطقة جازان,Saudi
102218740,5,1969501913,Issued to violator but un-paid,2026-01-28 03:17:27+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,نيسان,نافارا,البستان,سكاكا,منطقة الجوف,Saudi
103163980,6,2677332152,Issued to violator but un-paid,2026-01-28 03:16:50+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,جيب,رانجلر,الصناعية,نجران,منطقة نجران,Alien
101571189,3,1353133533,Issued to violator but un-paid,2026-01-28 03:15:47+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,هوندا,هوندا CR-V,النزهة,دومة الجندل,منطقة الجوف,Saudi
100925051,4,2803104111,Issued to violator but un-paid,2026-01-28 03:13:45+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,نيسان,باترول,الوادي,دومة الجندل,منطقة الجوف,Alien
102253799,5,1385202638,Issued to violator but un-paid,2026-01-28 03:03:03+00:00,,150,150,False,عدم ربط حزام,مرور مكه المكرمه,مرسيدس بنز,مرسيدس بنز E-Class,حي العوالي,مكة المكرمة,منطقة مكة المكرمة,Saudi
102218740,7,2507928525,Issued to violator but un-paid,2026-01-28 03:01:00+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,تويوتا,كامري,الصناعية,نجران,منطقة نجران,Alien
101571189,1,1175766945,Issued to violator but un-paid,2026-01-28 02:59:02+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,هيونداي,كريتا,كريم,تبوك,منطقة تبوك,Saudi
102253799,6,2899161799,Issued to violator but un-paid,2026-01-28 02:56:31+00:00,,150,150,True,عدم ربط حزام,مرور حفرالباطن,بي إم دبليو,بي إم دبليو 3 Series,حي المسفلة,مكة المكرمة,منطقة مكة المكرمة,Alien
102218740,6,2870107065,Issued to violator but un-paid,2026-01-28 02:55:31+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,ميتسوبيشي,لانسر,الصناعية,نجران,منطقة نجران,Alien
103163980,7,1990061186,Issued to violator but un-paid,2026-01-28 02:54:56+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الخرج,جيب,رانجلر,الفيصلية,نجران,منطقة نجران,Saudi
103163980,6,2806585517,Issued to violator but un-paid,2026-01-28 02:49:20+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,هيونداي,سوناتا,الفيصلية,نجران,منطقة نجران,Alien
101571189,5,2250963838,Issued to violator but un-paid,2026-01-28 02:48:04+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,شيفروليه,سبارك,حي البلد,الوجه,منطقة تبوك,Alien
100925051,6,1816721687,Issued to violator but un-paid,2026-01-28 02:41:59+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,شيفروليه,سبارك,حي جرول,مكة المكرمة,منطقة مكة المكرمة,Saudi
102253799,7,2079873740,Issued to violator but un-paid,2026-01-28 02:38:38+00:00,,150,150,True,عدم ربط حزام,مرور المدينة المنورة,لكزس,لكزس LX,الصناعية,نجران,منطقة نجران,Alien
102218740,4,2307452286,Issued to violator but un-paid,2026-01-28 02:32:20+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,هيونداي,أكسنت,الرحاب 2,تبوك,منطقة تبوك,Alien
103163980,2,2559917536,Issued to violator but un-paid,2026-01-28 02:32:17+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,مرسيدس بنز,مرسيدس بنز E-Class,الصناعية,نجران,منطقة نجران,Alien
102218740,6,1870260965,Issued to violator but un-paid,2026-01-28 02:31:34+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,لكزس,لكزس LX,حى الفيصلية,رفحاء,الحدود الشمالية,Saudi
102218740,4,1072334723,Issued to violator but un-paid,2026-01-28 02:20:08+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,هيونداي,أكسنت,الطلعة الشمالية,ضبا,منطقة تبوك,Saudi
101571189,4,2657399286,Issued to violator but un-paid,2026-01-28 02:15:54+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,بي إم دبليو,بي إم دبليو X5,البستان,سكاكا,منطقة الجوف,Alien
101571189,6,1862265848,Issued to violator but un-paid,2026-01-28 02:15:53+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور حفرالباطن,لكزس,لكزس LX,الصفا,جازان,منطقة جازان,Saudi
102253799,7,2850017118,Issued to violator but un-paid,2026-01-28 02:11:31+00:00,,150,150,False,عدم ربط حزام,مرور الناصرية,جيب,شيروكي,الصناعية,نجران,منطقة نجران,Alien
102253799,7,2994468722,Issued to violator but un-paid,2026-01-28 02:09:17+00:00,,150,150,False,عدم ربط حزام,مرور الناصرية,جيب,شيروكي,المطار,نجران,منطقة نجران,Alien
101571189,2,1908883928,Issued to violator but un-paid,2026-01-28 02:06:19+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,لكزس,لكزس RX,الياسمين,سكاكا,منطقة الجوف,Saudi
102218740,9,1231542545,Issued to violator but un-paid,2026-01-28 02:03:36+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,نيسان,باترول,حي البلد,الوجه,منطقة تبوك,Saudi
102253799,2,2905096472,Issued to violator but un-paid,2026-01-28 02:01:42+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,بي إم دبليو,بي إم دبليو 3 Series,النزهة,دومة الجندل,منطقة الجوف,Alien
102253799,3,1263667225,Issued to violator but un-paid,2026-01-28 02:00:30+00:00,,150,150,True,عدم ربط حزام,مرور الناصرية,هيونداي,أكسنت,النرجس,الرياض,منطقة الرياض,Saudi
102218740,5,2367536043,Issued to violator but un-paid,2026-01-28 01:55:49+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,مازدا,مازدا CX-5,حي البلد,الوجه,منطقة تبوك,Alien
102218740,1,1286718257,Issued to violator but un-paid,2026-01-28 01:55:06+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,جي إم سي,يوكون,العقله,الباحة,منطقة الباحة,Saudi
101571189,2,1926176947,Issued to violator but un-paid,2026-01-28 01:54:47+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,كيا,سيراتو,حي البلد,الوجه,منطقة تبوك,Saudi
101571189,1,2111638357,Issued to violator but un-paid,2026-01-28 01:54:42+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,ميتسوبيشي,لانسر,الخالدية,صبيا,منطقة جازان,Alien
101571189,2,1195535977,Issued to violator but un-paid,2026-01-28 01:51:20+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,كيا,سبورتاج,البستان,سكاكا,منطقة الجوف,Saudi
102218740,10,1797069632,Issued to violator but un-paid,2026-01-28 01:50:35+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,ميتسوبيشي,لانسر,الخالدية,صبيا,منطقة جازان,Saudi
103163980,5,1930270511,Issued to violator but un-paid,2026-01-28 01:45:02+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الخرج,مرسيدس بنز,مرسيدس بنز G-Class,النجيل,ضبا,منطقة تبوك,Saudi
101571189,8,2973157570,Issued to violator but un-paid,2026-01-28 01:43:49+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,تويوتا,كروزر,الياسمين,سكاكا,منطقة الجوف,Alien
100925051,5,2809729576,Issued to violator but un-paid,2026-01-28 01:43:28+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,شيفروليه,سبارك,حى الصناعية الجديدة,عرعر,الحدود الشمالية,Alien
102218740,5,2235815086,Issued to violator but un-paid,2026-01-28 01:42:11+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور المدينة المنورة,جيب,رانجلر,النزهة,دومة الجندل,منطقة الجوف,Alien
101571189,1,1102401419,Issued to violator but un-paid,2026-01-28 01:41:07+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,مرسيدس بنز,مرسيدس بنز G-Class,الفيصلية,نجران,منطقة نجران,Saudi
103163980,1,1711699755,Issued to violator but un-paid,2026-01-28 01:37:06+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,لكزس,لكزس LX,الصفا,جازان,منطقة جازان,Saudi
103163980,7,1499689357,Issued to violator but un-paid,2026-01-28 01:36:12+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,بي إم دبليو,بي إم دبليو X5,العزيزية,الخرج,منطقة الرياض,Saudi
102218740,5,2629423841,Issued to violator but un-paid,2026-01-28 01:34:08+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,هوندا,هوندا CR-V,الفيصلية,الخرج,منطقة الرياض,Alien
100925051,8,1436325054,Issued to violator but un-paid,2026-01-28 01:31:03+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,تويوتا,كروزر,الزهراء,جدة,منطقة مكة المكرمة,Saudi
102218740,2,2841695844,Issued to violator but un-paid,2026-01-28 01:25:02+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,فورد,رينجر,الزهراء,جدة,منطقة مكة المكرمة,Alien
100925051,5,2745039938,Issued to violator but un-paid,2026-01-28 01:22:47+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الخرج,نيسان,نافارا,أبحر الشمالية,جدة,منطقة مكة المكرمة,Alien
101571189,5,2917896907,Issued to violator but un-paid,2026-01-28 01:18:38+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,مازدا,مازدا 3,المطار,نجران,منطقة نجران,Alien
100925051,8,2805736909,Issued to violator but un-paid,2026-01-28 01:17:45+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور شمال رياض,كيا,كارينز,الفلاح,تبوك,منطقة تبوك,Alien
103163980,9,1885083945,Issued to violator but un-paid,2026-01-28 01:14:56+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,هوندا,هوندا CR-V,الاحد,بلجرشي,منطقة الباحة,Saudi
102218740,10,1929805738,Issued to violator but un-paid,2026-01-28 01:11:58+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الخرج,نيسان,نافارا,العقله,الباحة,منطقة الباحة,Saudi
103163980,7,1876796335,Issued to violator but un-paid,2026-01-28 01:08:56+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,شيفروليه,تاهو,الصفا,جازان,منطقة جازان,Saudi
101571189,7,2306874056,Issued to violator but un-paid,2026-01-28 01:07:41+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,فورد,رينجر,الصفرات,الدرعية,منطقة الرياض,Alien
103163980,3,2249605547,Issued to violator but un-paid,2026-01-28 01:04:55+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,تويوتا,كامري,النعيم,جدة,منطقة مكة المكرمة,Alien
103163980,4,2694694062,Issued to violator but un-paid,2026-01-28 01:00:55+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,هيونداي,أكسنت,العقله,الباحة,منطقة الباحة,Alien
100925051,5,2425034981,Issued to violator but un-paid,2026-01-28 01:00:54+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,مازدا,مازدا 3,حي جرول,مكة المكرمة,منطقة مكة المكرمة,Alien
103163980,10,2305451838,Issued to violator but un-paid,2026-01-28 00:54:49+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,بي إم دبليو,بي إم دبليو X5,الصدر,الباحة,منطقة الباحة,Alien
101571189,3,1549112354,Issued to violator but un-paid,2026-01-28 00:53:21+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الخرج,نيسان,ألتيما,الطويريق,رفحاء,الحدود الشمالية,Saudi
102218740,6,1223056800,Issued to violator but un-paid,2026-01-28 00:46:25+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور مكه المكرمه,شيفروليه,كابريس,الخالدية,صبيا,منطقة جازان,Saudi
100925051,2,2065981066,Issued to violator but un-paid,2026-01-28 00:44:55+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,نيسان,باترول,الرحاب 2,تبوك,منطقة تبوك,Alien
101571189,10,1061976548,Issued to violator but un-paid,2026-01-28 00:44:38+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الحاير,شيفروليه,كابريس,النزهة,دومة الجندل,منطقة الجوف,Saudi
103163980,7,1692128016,Issued to violator but un-paid,2026-01-28 00:43:15+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,شيفروليه,كابريس,النزهة,دومة الجندل,منطقة الجوف,Saudi
102218740,1,2098327754,Issued to violator but un-paid,2026-01-28 00:41:18+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الحاير,فورد,رينجر,المطار,جازان,منطقة جازان,Alien
103163980,4,2386829451,Issued to violator but un-paid,2026-01-28 00:39:24+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,شيفروليه,كابريس,الزهراء,جدة,منطقة مكة المكرمة,Alien
101571189,1,2022048421,Issued to violator but un-paid,2026-01-28 00:38:13+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور مكه المكرمه,ميتسوبيشي,لانسر,الخالدية,صبيا,منطقة جازان,Alien
100925051,7,1484132175,Issued to violator but un-paid,2026-01-28 00:31:47+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,بي إم دبليو,بي إم دبليو 3 Series,الوادي,دومة الجندل,منطقة الجوف,Saudi
103163980,9,2556964897,Issued to violator but un-paid,2026-01-28 00:30:29+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور المدينة المنورة,شيفروليه,سبارك,المطار,جازان,منطقة جازان,Alien
101571189,8,2368984657,Issued to violator but un-paid,2026-01-28 00:30:01+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور شمال رياض,نيسان,صني,السلي,الرياض,منطقة الرياض,Alien
102253799,5,2463223694,Issued to violator but un-paid,2026-01-28 00:25:52+00:00,,150,150,True,عدم ربط حزام,مرور شمال رياض,هيونداي,توسان,الطلعة الشمالية,ضبا,منطقة تبوك,Alien
102253799,6,2341700516,Issued to violator but un-paid,2026-01-28 00:23:55+00:00,,150,150,False,عدم ربط حزام,مرور شمال رياض,نيسان,صني,حى الفيصلية,رفحاء,الحدود الشمالية,Alien
102253799,2,1343890813,Issued to violator but un-paid,2026-01-28 00:17:20+00:00,,150,150,True,عدم ربط حزام,مرور المدينة المنورة,نيسان,باترول,كريم,تبوك,منطقة تبوك,Saudi
100925051,5,1458080431,Issued to violator but un-paid,2026-01-28 00:11:56+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,هيونداي,كريتا,السوق,سكاكا,منطقة الجوف,Saudi
103163980,6,2542136504,Issued to violator but un-paid,2026-01-28 00:10:43+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور حفرالباطن,نيسان,نافارا,الوادي,دومة الجندل,منطقة الجوف,Alien
100925051,1,1497850650,Issued to violator but un-paid,2026-01-27 23:58:53+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,نيسان,باترول,المطار,نجران,منطقة نجران,Saudi
100925051,3,1421188039,Issued to violator but un-paid,2026-01-27 23:58:38+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,مرسيدس بنز,مرسيدس بنز E-Class,حي المسفلة,مكة المكرمة,منطقة مكة المكرمة,Saudi
103163980,9,1100982102,Issued to violator but un-paid,2026-01-27 23:57:31+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,هيونداي,أكسنت,السوق,سكاكا,منطقة الجوف,Saudi
102218740,3,1495915079,Issued to violator but un-paid,2026-01-27 23:55:28+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,نيسان,صني,حى الفيصلية,رفحاء,الحدود الشمالية,Saudi
102218740,1,1267650447,Issued to violator but un-paid,2026-01-27 23:37:44+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور المدينة المنورة,تويوتا,كامري,الطويريق,رفحاء,الحدود الشمالية,Saudi
102253799,4,2297178858,Issued to violator but un-paid,2026-01-27 23:37:19+00:00,,150,150,True,عدم ربط حزام,مرور الخرج,بي إم دبليو,بي إم دبليو X5,الملز,الرياض,منطقة الرياض,Alien
103163980,4,2622367230,Issued to violator but un-paid,2026-01-27 23:31:16+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,مازدا,مازدا 3,الفيصلية,نجران,منطقة نجران,Alien
100925051,7,2247952250,Issued to violator but un-paid,2026-01-27 23:26:51+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور المدينة المنورة,شيفروليه,كابريس,حي البلد,الوجه,منطقة تبوك,Alien
102218740,5,1737940471,Issued to violator but un-paid,2026-01-27 23:26:43+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,تويوتا,راش,السوق,سكاكا,منطقة الجوف,Saudi
100925051,5,1139765196,Issued to violator but un-paid,2026-01-27 23:15:35+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الحاير,نيسان,نافارا,الحشو,بلجرشي,منطقة الباحة,Saudi
102253799,5,1237097437,Issued to violator but un-paid,2026-01-27 23:12:29+00:00,,150,150,False,عدم ربط حزام,مرور الخرج,تويوتا,كامري,النسيم,الرياض,منطقة الرياض,Saudi
102253799,10,2250928934,Issued to violator but un-paid,2026-01-27 23:10:44+00:00,,150,150,False,عدم ربط حزام,مرور حفرالباطن,نيسان,ألتيما,الطويريق,رفحاء,الحدود الشمالية,Alien
102218740,5,1325735138,Issued to violator but un-paid,2026-01-27 23:10:38+00:00,,1000,1000,True,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور الناصرية,نيسان,ألتيما,حي العوالي,مكة المكرمة,منطقة مكة المكرمة,Saudi
102253799,5,1832796137,Issued to violator but un-paid,2026-01-27 23:10:09+00:00,,150,150,False,عدم ربط حزام,مرور شمال رياض,فورد,رينجر,حى الفيصلية,رفحاء,الحدود الشمالية,Saudi
100925051,9,2751543847,Issued to violator but un-paid,2026-01-27 23:06:26+00:00,,100,100,True,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,كيا,سبورتاج,الطويريق,رفحاء,الحدود الشمالية,Alien
103163980,3,1513076880,Issued to violator but un-paid,2026-01-27 23:01:58+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الحاير,جي إم سي,يوكون,الطلعة الشمالية,ضبا,منطقة تبوك,Saudi
102253799,5,1641800601,Issued to violator but un-paid,2026-01-27 22:59:40+00:00,,150,150,False,عدم ربط حزام,مرور شمال رياض,لكزس,لكزس RX,النزهة,دومة الجندل,منطقة الجوف,Saudi
101571189,8,1517001781,Issued to violator but un-paid,2026-01-27 22:58:30+00:00,,1200,1200,False,دخول أو خروج الشاحنات في أوقات المنع,مرور الناصرية,ميتسوبيشي,باجيرو,الصناعية,نجران,منطقة نجران,Saudi
102253799,10,2529861239,Issued to violator but un-paid,2026-01-27 22:55:38+00:00,,150,150,False,عدم ربط حزام,مرور الحاير,نيسان,صني,الطويريق,رفحاء,الحدود الشمالية,Alien
103163980,4,1715479541,Issued to violator but un-paid,2026-01-27 22:52:25+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور مكه المكرمه,هيونداي,كريتا,الروضة,جازان,منطقة جازان,Saudi
101571189,6,2347192157,Issued to violator but un-paid,2026-01-27 22:48:34+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,هوندا,هوندا سيفيك,الصناعية,نجران,منطقة نجران,Alien
100925051,2,2608027737,Issued to violator but un-paid,2026-01-27 22:45:53+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور حفرالباطن,فورد,رينجر,البجيري,الدرعية,منطقة الرياض,Alien
100925051,8,1577858812,Issued to violator but un-paid,2026-01-27 22:42:59+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور مكه المكرمه,نيسان,ألتيما,العليا,تبوك,منطقة تبوك,Saudi
102218740,1,1869121837,Issued to violator but un-paid,2026-01-27 22:39:02+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور حفرالباطن,كيا,كارينز,الشاطئ,جدة,منطقة مكة المكرمة,Saudi
102218740,9,2383131491,Issued to violator but un-paid,2026-01-27 22:36:55+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,شيفروليه,تاهو,البستان,سكاكا,منطقة الجوف,Alien
103163980,2,2509147821,Issued to violator but un-paid,2026-01-27 22:35:30+00:00,,300,300,False,عدم امتلاك لوحة أمامية أو خلفية,مرور شمال رياض,مرسيدس بنز,مرسيدس بنز E-Class,حي العوالي,مكة المكرمة,منطقة مكة المكرمة,Alien
102253799,9,1541816174,Issued to violator but un-paid,2026-01-27 22:34:41+00:00,,150,150,True,عدم ربط حزام,مرور الحاير,تويوتا,اف جي كروزر,الخالدية,صبيا,منطقة جازان,Saudi
102218740,5,2109927888,Issued to violator but un-paid,2026-01-27 22:33:36+00:00,,1000,1000,False,تجاوز السرعة المحددة بمقدار لا يزيد على 25 كم/س,مرور شمال رياض,هوندا,هوندا سيفيك,المطار,نجران,منطقة نجران,Alien
100925051,5,2457921375,Issued to violator but un-paid,2026-01-27 22:32:40+00:00,,100,100,False,وقوف المركبة في اماكن غير مخصصة للوقوف,مرور الناصرية,كيا,ريو,الزهراء,جدة,منطقة مكة المكرمة,Alien
103163980,3,1022073420,Issued to violator but un-paid,2026-01-27 22:31:16+00:00,,300,300,True,عدم امتلاك لوحة أمامية أو خلفية,مرور الناصرية,شيفروليه,سبارك,الصفا,جازان,منطقة جازان,Saudi
101571189,4,1266695006,Issued to violator but un-paid,2026-01-27 22:30:43+00:00,,1200,1200,True,دخول أو خروج الشاحنات في أوقات المنع,مرور المدينة المنورة,مرسيدس بنز,مرسيدس بنز G-Class,النزهة,دومة الجندل,منطقة الجوف,Saudi
